n_XL_cov,n_XL_sat,frac_XL_sat,b1-e1,b2-e2,b1-b2,e1-e2,model
14,14,1.00,97.80,92.72,93.48,96.65,534
14,14,1.00,98.10,91.63,90.11,99.46,535
14,14,1.00,97.62,92.84,96.29,93.73,536
14,14,1.00,97.25,91.62,94.06,95.01,537
14,14,1.00,97.34,92.81,91.64,98.17,538
14,14,1.00,97.79,91.41,92.81,96.39,539
14,14,1.00,98.81,92.85,89.35,101.77,540
14,14,1.00,98.70,91.50,97.78,92.14,541
14,14,1.00,98.52,92.63,95.07,95.46,542
14,14,1.00,98.64,91.18,91.52,98.10,543
14,14,1.00,97.85,92.84,97.74,92.44,544
14,14,1.00,98.13,91.99,90.38,99.31,545
14,14,1.00,97.66,92.68,97.76,92.20,546
14,14,1.00,97.80,91.68,94.74,94.54,547
14,14,1.00,97.59,92.81,96.13,93.84,548
14,14,1.00,97.27,91.45,94.29,94.69,549
14,14,1.00,97.55,92.88,91.67,98.31,550
14,14,1.00,96.88,90.64,92.16,95.95,551
14,14,1.00,98.79,92.78,93.59,97.43,552
14,14,1.00,98.64,91.34,97.73,92.02,553
14,14,1.00,98.76,92.79,95.32,95.65,554
14,14,1.00,98.61,91.11,91.45,98.12,555
14,14,1.00,98.00,92.64,91.66,98.46,556
14,14,1.00,98.10,91.94,96.15,93.58,557
14,14,1.00,97.89,92.77,93.53,96.73,558
14,14,1.00,97.98,91.27,94.48,94.83,559
14,14,1.00,97.59,92.86,96.14,93.85,560
14,14,1.00,97.43,91.78,94.34,94.95,561
14,14,1.00,97.22,92.65,91.67,97.99,562
14,14,1.00,97.63,90.91,92.62,96.17,563
14,14,1.00,98.71,92.64,93.56,97.14,564
14,14,1.00,98.84,91.89,97.94,92.42,565
14,14,1.00,98.72,92.81,95.37,95.57,566
14,14,1.00,98.73,91.22,91.64,98.08,567
14,14,1.00,97.81,92.82,97.72,92.42,568
14,14,1.00,97.94,91.61,96.17,93.28,569
14,14,1.00,97.35,92.39,93.29,96.29,570
14,14,1.00,98.11,91.51,94.43,95.11,571
14,14,1.00,97.18,92.74,96.22,93.46,572
14,14,1.00,97.70,91.80,94.66,94.82,573
14,14,1.00,96.97,92.62,91.47,98.02,574
14,14,1.00,97.49,91.00,92.48,96.31,575
14,14,1.00,98.76,92.76,93.63,97.28,576
14,14,1.00,98.78,91.27,91.42,98.34,577
14,14,1.00,98.71,92.79,95.37,95.53,578
14,14,1.00,98.51,91.10,91.50,98.01,579
14,14,1.00,97.69,92.72,97.73,92.26,580
14,14,1.00,97.66,91.34,95.84,93.23,581
14,14,1.00,97.84,92.70,93.47,96.68,582
14,14,1.00,98.08,91.13,94.25,95.00,583
14,14,1.00,97.69,92.74,90.17,99.77,584
14,14,1.00,97.24,91.49,94.29,94.70,585
14,14,1.00,97.28,92.81,96.46,93.26,586
14,14,1.00,97.23,90.97,92.45,96.15,587
14,14,1.00,98.69,92.66,93.28,97.44,588
14,14,1.00,98.65,92.07,92.14,98.18,589
14,14,1.00,98.79,92.81,95.38,95.67,590
14,14,1.00,98.65,91.69,96.44,93.52,591
14,14,1.00,98.15,92.92,92.46,98.16,592
14,14,1.00,97.36,91.11,95.82,92.93,593
14,14,1.00,98.20,92.82,97.99,92.49,594
14,14,1.00,97.77,90.98,94.32,94.66,595
14,14,1.00,97.21,92.88,90.26,99.46,596
14,14,1.00,96.90,91.42,94.02,94.67,597
14,14,1.00,96.90,92.49,91.27,98.13,598
14,14,1.00,97.72,91.59,88.28,101.05,599
