r1,p1,zs1,ia1,shr1,reg1,r2,p2,zs2,ia2,shr2,reg2,model
3.45,153.17,0.00,30.00,0.00,f,3.27,143.08,1.13,30.00,0.00,g,187
3.49,158.93,0.00,24.57,0.00,g,3.32,138.99,-3.19,24.37,0.00,b,188
3.37,148.61,0.00,21.73,0.00,g,3.26,151.58,1.26,21.60,0.00,c,189
3.29,126.40,0.00,21.00,0.00,g,3.32,129.36,-1.66,20.76,0.00,e,190
3.25,168.58,0.00,28.56,0.00,g,3.52,151.45,-0.22,27.87,0.00,g,191
3.35,140.32,0.00,11.27,0.00,e,3.68,163.61,-0.11,10.00,0.00,b,192
3.36,150.61,0.00,15.90,0.00,e,3.26,144.95,4.51,15.73,0.00,c,193
3.46,136.73,0.00,24.65,0.00,e,3.25,143.67,1.00,24.54,0.00,e,194
3.40,172.32,0.00,27.83,0.00,e,3.38,153.92,2.75,27.61,0.00,g,195
3.38,136.23,0.00,23.56,0.00,f,3.28,141.66,4.16,23.41,0.00,b,196
3.42,143.82,0.00,22.88,0.00,f,3.25,147.50,2.63,22.72,0.00,c,197
3.33,157.65,0.00,20.33,0.00,f,3.30,157.97,-0.14,20.06,0.00,e,198
3.34,154.17,0.00,10.00,0.00,f,3.69,182.18,1.55,10.00,0.00,g,199
3.38,153.25,0.00,21.15,0.00,g,3.25,156.09,2.81,20.85,0.00,b,200
3.26,132.05,0.00,20.94,0.00,g,3.36,132.92,1.35,20.60,0.00,c,201
3.26,159.10,0.00,20.67,0.00,g,3.38,159.00,-1.64,20.30,0.00,e,202
3.29,170.16,0.00,29.34,0.00,g,3.48,153.02,-0.25,28.28,0.00,g,203
3.35,141.19,0.00,10.98,0.00,e,3.69,164.98,-0.05,10.02,0.00,b,204
3.32,189.63,0.00,20.37,0.00,e,3.54,157.98,-1.54,20.72,0.00,c,205
3.39,164.45,0.00,21.14,0.00,e,3.25,168.12,1.31,20.99,0.00,e,206
3.39,153.94,0.00,21.86,0.00,e,3.26,156.66,-1.79,21.82,0.00,g,207
3.44,158.42,0.00,25.53,0.00,f,3.37,140.09,-1.72,26.41,0.00,b,208
3.39,156.27,0.00,10.00,0.00,f,3.62,184.63,-3.02,10.00,0.00,c,209
3.35,141.03,0.00,23.09,0.00,f,3.29,147.36,-0.28,22.88,0.00,e,210
3.34,170.39,0.00,24.17,0.00,f,3.48,147.97,1.33,22.80,0.00,g,211
3.25,148.39,0.00,22.73,0.00,g,3.41,151.17,2.78,22.50,0.00,b,212
3.38,133.95,0.00,22.40,0.00,g,3.29,135.86,1.14,22.11,0.00,c,213
3.42,135.48,0.00,24.24,0.00,g,3.25,143.55,-1.88,24.12,0.00,e,214
3.68,156.86,0.00,10.00,0.00,g,3.34,184.62,-0.14,10.15,0.00,g,215
3.47,179.38,0.00,29.01,0.00,e,3.29,160.77,-0.29,29.15,0.00,b,216
3.36,156.03,0.00,24.16,0.00,e,3.45,137.71,-1.62,24.86,0.00,c,217
3.37,154.57,0.00,21.19,0.00,e,3.26,158.46,1.31,21.06,0.00,e,218
3.41,173.16,0.00,19.29,0.00,e,3.25,169.34,-1.68,19.11,0.00,g,219
3.30,143.38,0.00,10.86,0.00,f,3.74,168.92,-1.55,10.00,0.00,b,220
3.36,149.86,0.00,22.35,0.00,f,3.33,150.42,2.65,22.10,0.00,c,221
